PID|MID|SID|SID2
410|18|3|6
884|10|5|7
1218|6|0|9
1944|13|1|2
296|11|7|8
328|12|9|4
473|4|7|7
171|2|6|8
1934|4|4|6
246|18|4|2
987|3|7|2
1525|16|0|9
970|9|4|8
911|15|9|2
1110|11|1|1
323|11|5|3
1669|10|6|9
1637|5|8|0
879|2|3|8
998|12|4|8
855|8|3|1
1192|14|9|3
1580|11|6|7
1684|3|8|8
910|4|1|7
209|1|9|9
1712|1|6|1
851|3|9|7
594|6|9|0
1264|11|2|9
214|4|0|7
1440|13|8|0
231|14|6|0
1375|2|2|4
665|10|3|5
1557|10|5|0
216|14|9|2
1267|14|3|5
1501|18|0|8
1219|18|6|4
196|9|3|2
326|12|1|1
216|12|3|7
282|13|2|8
793|8|1|6
1260|16|1|1
496|18|0|7
1978|18|3|5
1345|13|3|5
1397|12|2|5
1924|12|6|1
1965|16|8|6
891|5|1|3
727|2|0|9
230|12|7|4
166|18|4|7
698|17|9|9
1345|10|8|5
93|18|1|0
485|16|0|6
1678|2|8|5
956|10|2|4
483|18|2|3
350|7|4|8
1650|3|7|9
1466|10|9|1
113|17|8|4
1899|10|6|3
1137|7|5|1
668|17|1|9
164|13|0|2
1347|16|1|4
1874|8|3|1
1206|17|1|5
245|10|8|8
926|4|8|6
813|8|8|9
1481|2|1|0
87|8|5|6
1594|18|3|4
486|3|3|4
1196|6|2|8
307|6|3|9
1803|14|9|9
24|7|6|0
1671|9|6|0
1746|11|1|0
357|11|3|9
1919|17|0|7
1278|18|0|4
1830|14|6|5
1514|16|5|8
1514|10|3|5
1203|10|6|2
1007|11|7|2
1201|10|2|9
1991|6|4|1
1685|8|5|1
325|17|9|3
872|18|4|5
894|11|9|5
1753|5|0|9
883|11|4|6
1978|2|6|0
1168|18|6|9
1917|11|9|1
64|1|4|8
287|11|1|5
261|6|2|5
1235|18|7|3
1177|2|2|7
1533|11|1|1
1739|17|6|7
140|3|8|0
381|2|8|7
976|13|6|0
362|16|8|2
370|15|8|6
436|12|2|2
1256|10|1|6
276|1|4|9
1795|18|9|0
1684|2|8|2
1198|8|4|3
1223|18|1|1
426|8|7|6
373|3|9|9
1714|17|4|6
599|12|4|8
352|10|0|4
1198|17|8|5
704|4|2|8
1585|6|8|3
1470|1|1|2
1240|18|4|8
1066|6|5|3
1549|3|9|4
430|7|1|4
1918|18|7|4
1531|3|9|1
1830|18|0|8
1753|11|7|9
400|5|8|5
1890|13|4|2
1950|5|9|0
273|1|5|9
564|6|1|5
1981|16|6|6
258|10|1|0
1275|7|5|6
1706|16|8|0
117|4|0|3
1808|14|4|5
1893|18|6|2
520|4|1|0
1297|14|3|9
1521|12|2|7
1796|14|3|5
313|3|9|8
555|9|1|0
683|9|6|2
1069|4|5|1
1089|1|0|7
214|3|5|4
1823|2|6|7
1790|5|8|3
619|9|0|4
941|3|9|0
1827|5|7|9
341|4|6|6
1919|7|7|2
1287|4|9|1
1232|8|4|8
1564|1|0|9
1083|13|7|0
491|10|5|5
1945|17|7|8
348|7|5|7
1120|9|2|8
802|4|5|1
349|12|0|0
1871|9|5|9
509|18|6|2
829|14|2|7
829|9|0|6
1259|16|2|2
1502|14|0|3
229|17|4|7
1923|18|0|8
1365|13|2|1
1995|18|0|1
1549|14|3|5
492|5|8|3
1115|11|2|4
308|10|3|2
540|2|8|6
1956|7|0|1
159|15|7|5
1315|9|6|0
79|17|5|3
846|12|1|7
1556|14|2|4
902|11|8|9
1518|16|7|8
52|2|6|5
1156|5|0|8
513|16|3|4
1339|2|2|4
1880|9|1|9
430|1|2|0
1238|18|5|3
1254|2|1|1
118|9|4|9
1633|1|7|7
1343|5|8|9
1808|16|0|4
1704|1|3|8
114|1|2|5
449|7|0|5
1010|12|1|8
1293|12|6|9
1712|8|9|6
1997|1|7|8
156|14|4|4
1560|7|0|9
1478|11|7|4
720|9|0|1
1606|18|3|8
969|7|8|3
1813|13|1|1
581|5|5|6
1406|17|6|4
244|16|3|6
1411|1|5|7
301|15|7|4
1937|7|2|2
317|13|6|0
473|1|7|9
140|4|4|0
547|16|6|9
1393|12|6|8
1030|12|0|3
1879|1|9|1
58|14|4|0
775|18|4|7
793|2|9|2
536|12|5|5
16|17|6|3
1669|3|8|4
836|10|0|4
1710|4|6|4
1171|10|1|9
586|17|6|4
1707|18|2|2
1398|5|2|9
832|12|6|2
857|3|8|3
1001|5|1|8
934|17|7|1
1196|18|9|9
935|10|1|7
663|12|2|1
1315|12|8|8
249|8|1|8
38|5|5|5
267|3|3|8
386|15|8|6
525|13|4|6
647|7|0|5
200|12|5|6
1953|18|9|1
735|8|4|5
1262|16|7|8
511|11|1|2
922|8|7|3
1581|11|5|1
1787|7|9|2
1761|18|3|6
259|5|4|6
328|7|9|1
1047|15|8|2
874|2|9|7
1428|3|3|6
1642|16|2|1
1823|18|4|3
735|5|2|0
413|5|9|0
755|11|1|5
1766|6|3|6
405|6|2|5
1487|9|1|7
1407|11|8|2
794|17|5|6
965|1|3|6
595|7|7|1
315|10|5|9
1965|11|5|2
993|10|9|6
1734|8|8|8
1591|14|2|4
487|4|7|0
743|16|3|3
921|2|4|4
244|10|7|3
1412|8|2|7
1287|5|2|5
1107|14|2|1
1031|14|7|6
907|10|7|7
1992|18|4|5
1294|17|0|3
1027|18|7|9
93|3|0|9
774|5|0|2
344|9|9|7
244|6|1|7
1600|9|4|4
907|16|0|4
1691|5|2|6
1907|12|3|2
61|6|5|9
1126|18|1|2
564|6|1|2
1498|16|0|8
1241|18|5|6
203|11|4|3
1829|16|0|6
958|1|5|8
427|9|6|5
740|9|4|7
1080|9|0|9
218|15|9|1
1507|14|9|5
473|8|5|0
642|11|4|8
1701|11|1|4
1634|8|0|5
1583|5|8|9
1131|18|5|7
946|7|7|5
180|7|9|0
387|18|1|6
1143|16|8|2
1588|10|6|3
671|4|8|3
1999|9|6|6
421|13|8|1
1132|11|7|6
859|14|9|5
134|9|8|8
26|7|3|0
180|15|7|9
420|11|7|9
974|5|7|6
1127|17|8|0
549|18|2|5
1805|10|6|9
529|10|3|9
1860|12|8|3
386|9|8|4
132|7|8|3
1031|10|1|8
1120|11|9|5
893|11|7|1
222|18|3|2
1698|14|9|3
1728|18|3|7
766|3|3|5
399|9|0|6
1010|16|1|9
301|2|3|4
1370|16|9|8
1609|1|1|1
511|7|4|6
1839|5|7|7
1787|13|1|9
1119|1|5|3
278|6|0|7
1353|18|1|1
1771|2|8|1
236|14|2|9
492|6|4|0
509|14|8|0
100|17|9|7
1228|16|6|4
1639|10|1|0
637|4|9|9
750|10|8|3
1563|17|4|6
609|2|8|5
1554|18|2|6
813|1|2|6
122|13|1|5
62|11|4|0
261|4|8|2
698|7|7|6
81|15|7|8
1310|11|9|9
601|7|6|9
154|7|3|6
1803|11|7|7
529|8|8|9
445|2|1|2
1099|17|6|0
870|3|2|0
279|8|0|4
1795|14|6|8
91|8|1|1
1994|2|3|2
1742|8|6|2
380|10|3|1
485|11|9|5
418|17|9|0
816|4|0|6
777|12|1|5
1036|1|4|8
1940|6|1|0
646|11|4|9
702|13|6|0
1945|7|5|9
1466|12|6|0
1462|14|3|0
1546|13|0|4
526|18|1|2
93|1|7|5
28|17|6|3
1406|10|5|5
872|3|9|2
267|14|5|5
231|8|6|2
999|11|4|3
1768|18|4|7
971|8|2|4
938|8|4|4
1845|9|0|1
1688|3|4|0
1807|1|4|9
238|9|3|5
1291|3|0|8
1911|18|8|9
1222|11|8|6
491|10|2|6
845|9|0|1
1370|9|3|2
1373|9|0|5
1402|8|3|4
1682|6|0|0
330|6|9|5
1571|8|0|0
340|11|8|2
1265|18|0|4
1124|9|2|2
1449|15|7|8
861|17|9|8
843|5|1|6
210|1|6|5
560|10|7|3
56|13|4|2
176|8|7|0
71|10|4|1
1340|7|9|0
1544|15|9|2
1334|7|0|3
362|4|9|5
1461|17|8|7
1874|17|6|3
613|10|2|9
212|9|9|5
909|17|6|1
1740|10|6|4
13|11|3|0
1100|11|4|0
386|2|6|3
1450|18|7|3
1139|10|2|8
1121|16|2|4
454|5|5|2
732|3|3|1
476|17|9|1
1278|2|7|5
1137|11|6|1
1951|8|6|0
706|7|3|2
120|10|5|2
1008|14|9|0
286|15|8|2
340|17|9|4
1692|5|8|9
1469|12|6|1
1050|9|8|1
1525|14|0|3
570|7|3|4
1287|8|7|3
990|7|0|4
466|12|2|1
1907|15|7|6
322|18|5|3
1691|12|6|1
61|15|8|5
1865|4|4|3
947|2|0|5
376|8|0|6
1541|17|0|1
1589|9|1|7
672|14|0|9
168|12|1|1
1476|17|1|3
1836|18|4|5
1773|10|3|9
1445|5|0|6
879|5|3|7
1683|12|4|4
1965|6|7|9
907|2|9|8
651|2|9|1
812|6|5|5
324|18|4|0
1075|18|3|8
1691|1|5|0
198|11|7|6
1693|14|6|2
1480|11|9|6
876|17|8|2
930|11|2|4
192|3|3|8
880|18|5|8
920|4|2|2
470|11|6|8
1249|8|5|6
541|15|7|1
242|6|1|3
1804|8|8|8
1130|2|8|7
939|3|5|8
237|2|1|7
1019|13|5|5
833|11|6|0
1505|8|4|9
430|10|9|7
998|6|4|3
1046|9|2|2
1377|10|5|7
799|1|8|9
163|14|2|5
1031|18|0|6
1024|5|2|0
198|17|6|0
383|7|3|5
1446|9|8|5
974|8|0|8
33|17|2|2
1828|3|6|8
1141|16|9|6
512|10|4|0
1961|16|8|5
1584|6|3|2
1441|6|1|3
1006|4|9|1
735|4|5|4
1117|10|4|1
392|17|5|5
476|6|1|1
460|9|9|1
236|6|3|1
220|14|7|8
157|6|5|6
1519|12|3|1
215|6|2|5
223|9|7|2
1514|4|8|5
440|13|8|4
554|17|1|5
1890|6|4|2
565|14|7|1
1347|3|6|1
1566|13|1|5
975|16|8|9
624|3|8|7
1438|2|9|0
1493|13|8|4
539|18|6|2
745|1|0|4
961|4|0|1
887|18|3|5
1077|5|8|2
1155|2|1|4
56|15|9|6
506|8|5|2
1369|9|3|1
1112|10|9|3
1586|6|2|9
1626|8|5|3
411|12|7|5
1890|14|1|9
121|5|7|1
809|6|2|4
1481|11|8|7
1108|4|6|6
1291|13|8|9
1742|14|9|1
988|7|8|2
1295|7|7|0
1146|8|7|4
846|1|0|3
489|9|8|1
304|3|7|1
546|13|5|6
1748|3|8|9
373|5|9|8
421|7|3|1
1864|4|5|3
1792|5|5|0
1318|5|7|8
156|8|3|7
348|10|0|3
945|1|7|5
256|4|1|2
1852|1|4|0
427|2|3|1
900|16|0|5
1647|17|2|5
434|17|0|3
1267|8|3|8
1310|3|3|7
163|5|6|6
786|1|1|5
1784|9|4|8
129|8|2|8
23|1|8|9
1932|17|6|5
1775|4|6|4
1295|3|5|5
1466|7|5|2
586|9|6|9
817|10|5|2
1959|11|9|6
824|11|0|6
973|17|9|7
1555|12|8|1
1057|8|6|6
689|8|7|8
1220|5|8|3
739|12|9|7
1771|10|9|9
1108|4|9|1
547|11|3|7
1792|3|0|7
599|12|2|0
1896|3|4|0
747|11|9|5
1760|18|2|1
991|4|0|2
706|12|3|1
292|14|2|7
1457|9|6|7
1280|1|9|3
616|12|0|6
1403|10|5|3
1406|6|3|8
852|9|9|2
1036|18|5|8
1569|18|1|5
486|12|7|4
184|1|8|8
1617|16|9|0
1751|14|9|4
1412|6|9|6
1533|1|5|5
1081|3|4|8
40|8|5|3
1923|12|9|4
257|12|7|3
1016|16|5|0
496|16|9|6
376|7|3|4
1121|18|8|9
1676|18|8|0
1982|12|4|1
294|14|6|5
925|18|5|8
1539|12|2|6
1461|2|4|3
798|7|5|3
1844|13|9|9
517|18|6|1
1183|18|3|0
1713|3|0|1
1725|18|1|2
1871|3|8|4
869|16|7|4
496|3|1|8
441|11|7|7
74|12|0|0
1694|11|0|8
607|5|0|3
260|11|6|5
934|13|3|1
1834|3|1|9
780|16|4|6
1479|17|0|0
390|3|0|9
1425|13|7|7
758|8|8|2
1267|13|6|7
1124|3|3|9
102|10|7|6
755|17|4|7
416|17|3|3
1774|5|3|7
706|10|6|9
1990|16|4|1
298|5|3|1
191|1|2|2
471|11|3|4
943|7|6|6
513|2|6|0
1006|5|6|3
711|2|9|9
399|5|0|6
649|18|6|8
1839|6|9|6
672|14|2|6
757|7|6|1
1540|13|0|8
1531|8|6|5
1031|18|6|2
618|18|3|7
1791|2|5|0
824|11|1|9
1020|8|0|9
788|3|5|8
1864|18|5|8
1610|11|6|2
895|8|4|3
1631|3|1|4
1103|16|2|2
789|12|1|1
1623|8|5|6
1369|5|3|9
127|8|8|2
976|2|2|8
216|12|5|7
209|18|9|6
17|11|2|8
1016|11|4|0
1893|7|9|7
1105|6|0|4
775|3|0|8
1976|11|0|4
916|6|6|4
754|13|5|7
1331|16|2|9
1118|7|8|1
1117|12|6|5
1928|10|5|9
1970|18|2|6
185|5|3|4
1172|16|2|4
737|17|3|4
1816|14|8|2
1052|4|8|8
249|16|2|0
1859|10|6|4
607|10|4|8
1351|6|2|3
1889|8|0|2
4|7|7|0
955|4|9|7
63|10|8|9
962|7|2|2
1604|12|3|9
1068|2|7|0
1939|12|3|3
1940|14|0|2
723|4|1|5
1654|4|5|4
1131|6|1|0
1585|14|6|4
1814|9|0|7
1728|16|0|6
733|6|5|8
462|7|7|2
352|11|6|8
1295|14|8|5
839|8|2|3
1900|10|8|7
717|2|6|1
129|9|1|1
738|7|0|5
732|14|0|8
1119|11|3|9
41|16|9|7
1586|15|9|1
1470|3|7|4
720|9|9|3
378|14|3|1
1052|11|4|3
1921|3|9|7
1361|6|7|4
1388|16|6|5
1861|9|3|1
483|11|2|9
284|18|8|5
1455|2|1|2
432|10|9|2
758|17|0|7
519|2|0|0
244|14|0|7
201|11|3|1
782|18|9|5
1072|10|7|1
1909|1|8|6
64|16|0|1
60|5|8|8
854|16|0|7
1404|10|0|2
371|12|5|0
1523|1|4|6
433|5|9|6
1340|2|7|7
729|5|1|0
1338|4|6|9
846|4|1|5
1766|13|9|0
1257|12|3|6
1648|17|8|0
1223|7|1|7
597|12|8|4
1944|12|9|0
1002|3|6|2
251|10|7|8
376|16|6|6
153|7|8|5
636|18|8|8
576|13|4|1
94|7|8|8
1548|2|3|7
1292|4|2|2
671|9|8|7
1588|16|1|6
1108|11|6|8
60|16|1|6
1261|9|4|6
1614|16|6|5
598|2|5|9
408|7|6|6
744|4|2|0
1353|10|8|6
1960|13|7|4
98|7|7|5
902|6|6|3
696|11|8|2
1614|3|4|0
523|11|4|8
1434|2|3|5
1982|1|6|4
921|6|2|1
634|4|4|4
1628|9|0|9
523|9|0|9
1033|15|0|5
1105|3|3|5
1492|11|7|9
594|5|2|9
1566|10|4|7
599|18|5|0
1474|17|0|9
1481|6|0|2
1657|13|4|5
671|18|6|2
1778|1|5|0
1661|8|6|4
1804|1|9|9
9|5|4|3
948|14|8|2
1764|3|5|5
1150|3|7|9
1314|10|2|9
1990|17|9|1
255|4|1|2
410|13|4|5
1668|10|6|5
48|11|9|6
707|16|8|7
1866|2|2|8
529|6|5|7
1514|16|9|5
409|15|9|1
1208|3|6|5
809|11|8|4
1759|17|0|6
762|4|8|0
57|15|0|7
1948|18|4|4
1250|6|9|8
1310|6|1|0
1681|6|8|1
822|8|6|8
99|17|9|4
834|7|3|7
603|3|2|7
611|14|1|8
1420|10|6|4
1840|17|1|8
927|17|6|9
711|8|7|4
1445|6|4|4
1230|13|8|3
185|17|8|5
1598|1|2|2
1309|15|9|7
980|12|1|1
88|7|6|4
430|15|0|1
775|15|0|5
693|2|2|4
1113|3|0|5
1337|14|4|6
1045|6|1|5
812|13|7|2
786|4|5|6
1310|8|3|8
959|15|9|4
68|9|9|6
317|5|3|2
451|5|5|0
1370|14|4|0
1438|9|4|8
1540|10|6|1
1344|1|9|5
1809|16|0|4
1396|8|9|1
685|1|1|0
1954|14|5|0
446|2|7|0
645|16|9|9
1159|3|3|0
945|17|1|5
430|13|5|0
190|9|5|4
983|11|1|8
1467|18|8|0
257|8|4|1
1271|7|8|3
1575|6|0|1
19|6|4|7
188|14|1|1
1574|4|7|5
1553|17|0|8
652|3|9|2
515|1|2|3
1497|8|9|1
326|7|7|5
1282|10|5|4
500|7|4|4
340|4|9|1
1213|8|2|3
1189|9|0|9
111|1|2|5
767|18|3|7
1319|5|0|9
1597|17|8|7
1249|12|4|5
3|15|0|6
1599|17|0|6
937|18|9|2
1400|5|8|1
1453|1|0|5
661|13|2|3
487|12|4|1
560|9|1|2
1264|12|8|4
51|4|5|3
450|12|4|7
863|18|4|6
425|16|7|9
492|3|0|0
799|8|4|6
1525|11|2|8
530|6|0|1
1472|3|5|5
422|10|2|3
1217|9|6|3
390|17|8|8
1018|14|3|5
1509|15|0|8
533|2|8|1
567|18|4|1
1929|2|1|9
994|1|4|2
1613|5|7|2
1446|17|0|2
699|3|2|8
42|4|4|3
378|6|3|5
1007|3|0|3
1440|16|0|1
898|18|1|5
1609|14|9|7
926|4|7|0
1030|18|7|6
239|3|6|2
1285|16|1|7
1806|6|6|0
357|9|5|3
9|18|4|9
944|1|3|5
6|1|2|3
87|2|1|0
515|1|7|0
1716|10|2|0
474|9|6|0
1290|10|9|0
340|4|9|8
1126|17|4|1
1410|8|4|5
585|5|5|4
1701|8|6|1
1011|13|7|8
1189|18|4|2
1998|10|3|1
1395|11|7|0
1783|12|4|0
407|13|3|3
443|18|5|7
1611|11|3|0
1882|16|1|8
1358|7|3|0
1487|4|7|1
1824|9|9|1
1103|12|5|5
1443|8|8|7
845|9|8|4
473|13|3|2
1296|7|1|0
282|2|8|0
951|5|4|2
1258|9|2|6
774|4|8|0
473|18|9|6
794|2|9|8
1979|3|3|6
1897|9|8|9
1563|5|4|3
1772|7|8|3
1914|17|6|9
652|6|6|7
1510|11|0|4
789|12|2|1
1029|5|4|4
56|6|0|2
1707|2|5|2
725|9|6|3
4|3|1|2
707|10|5|1
609|5|2|3
1951|4|5|2
685|7|2|3
133|9|9|5
428|12|6|0
1430|1|2|0
691|16|2|9
272|8|8|7
1808|9|1|9
1503|16|9|5
1747|14|4|5
306|5|7|0
126|12|2|3
1774|8|4|7
271|2|7|4
1776|16|5|5
66|4|7|8
526|1|2|7
384|1|2|9
881|8|1|1
355|8|6|8
326|6|7|9
469|17|8|5
1477|1|7|3
224|1|8|8
63|7|8|5
549|15|8|7
341|6|6|9
428|17|7|0
1018|17|3|8
1775|10|3|2
1424|6|3|0
1500|18|6|5
709|7|6|2
784|1|8|2
1275|12|4|5
1389|16|7|2
33|2|4|1
1713|9|0|3
1868|8|4|1
1292|2|5|8
1251|2|9|2
457|2|5|6
1359|11|6|8
662|11|7|8
201|11|4|4
203|4|6|0
793|13|2|0
1638|10|3|2
171|3|5|1
1619|6|1|3
273|16|0|5
1359|2|8|2
1772|5|6|5
1157|8|2|1
855|2|3|3
1582|9|6|5
1790|4|4|9
1967|11|6|5
200|2|0|3
1261|14|6|9
419|4|1|3
179|8|8|0
1364|7|0|4
160|18|9|7
1291|14|3|5
395|7|4|0
1918|12|2|2
357|5|4|0
1079|10|5|3
1496|18|4|7
1325|18|5|0
1649|12|3|1
1671|17|7|6
1306|3|5|9
1693|4|1|9
1083|17|1|7
663|5|7|0
1185|11|3|9
1498|18|9|6
1457|18|2|3
1152|6|2|4
469|2|2|7
1182|11|9|1
1194|17|0|3
1556|13|3|5
397|16|8|8
1609|5|7|1
1870|17|8|9
1390|10|5|4
744|6|3|4
89|4|6|9
1335|18|2|0
1528|11|9|0
935|15|7|1
1702|16|3|0
1437|9|7|8
415|10|9|5
1964|2|5|1
11|7|3|2
1666|3|8|3
1476|4|5|1
1516|10|6|2
632|6|6|2
334|4|8|9
596|3|4|6
624|1|2|2
320|18|8|7
1015|10|1|8
413|14|3|4
560|13|3|6
290|9|6|4
1462|17|1|4
1409|2|2|7
579|6|2|6
982|11|7|6
1829|6|0|0
861|10|0|6
1557|2|0|9
406|18|3|2
1453|6|7|1
1854|18|7|6
1348|15|8|3
1627|5|0|7
758|7|0|8
419|10|1|1
438|5|1|4
515|11|6|6
734|3|2|9
438|3|2|7
153|7|5|7
1133|10|9|9
968|10|5|5
1463|7|9|4
1125|15|8|5
565|9|3|9
1687|11|3|0
694|11|8|9
1298|13|0|4
1601|13|6|2
889|11|4|6
276|8|3|5
1028|16|9|7
367|4|9|9
1065|9|3|4
1327|16|7|4
1960|14|5|0
1142|16|9|5
1538|7|5|7
410|11|5|2
1481|7|2|0
600|2|8|7
52|17|6|0
959|18|2|1
1752|9|4|8
608|12|6|9
262|9|4|1
668|3|0|8
1552|3|6|7
491|4|7|2
1312|7|4|1
749|8|6|5
1185|3|1|9
1804|14|5|0
1928|7|1|4
1111|6|8|5
792|18|2|0
1121|2|6|4
1529|16|9|4
1815|8|5|0
278|7|8|7
829|5|2|2
210|4|0|1
155|3|1|4
839|11|7|5
1017|3|3|6
273|5|9|4
175|1|0|1
1101|1|4|8
1906|2|1|8
402|5|4|9
1494|3|5|3
382|4|3|9
1689|12|4|0
1812|1|1|6
1180|16|9|7
966|3|8|2
381|5|9|5
797|3|5|0
419|14|2|7
449|2|1|7
914|12|2|3
247|18|2|7
1915|17|2|1
1022|1|8|8
1861|10|6|9
177|4|3|2
1953|13|5|0
884|5|6|6
1785|17|4|2
164|11|7|3
219|18|5|0
405|12|5|5
12|1|1|6
1020|18|7|8
1719|18|9|0
1601|4|8|0
1861|4|0|2
1803|13|1|8
1375|10|6|3
596|7|4|4
409|17|2|4
1416|12|5|2
1017|8|8|4
547|1|8|5
1971|16|8|5
1171|2|4|7
932|18|2|8
716|17|7|0
1316|13|5|1
877|3|9|0
1492|6|7|2
532|9|0|2
160|13|8|6
134|17|0|8
1327|18|5|8
755|14|0|4
169|7|0|2
1944|13|5|4
1024|3|7|3
1459|18|3|9
909|9|1|3
144|3|8|6
1633|9|1|9
1594|11|3|8
568|10|1|1
184|15|8|0
209|14|6|8
196|2|9|3
1301|18|8|0
1107|1|6|9
767|18|3|7
421|13|8|9
1292|6|2|5
1618|7|4|6
1904|3|0|9
841|7|0|4
728|6|9|1
1052|18|8|8
539|2|1|3
423|15|0|5
514|5|9|6
225|1|7|0
839|14|1|0
128|4|5|0
193|14|7|6
202|15|8|3
1024|9|3|4
1362|15|7|6
579|11|0|1
815|14|3|7
1127|8|2|1
1503|18|5|2
949|8|5|0
1955|4|8|0
1395|5|9|9
1526|13|5|3
883|10|7|7
462|1|9|9
1133|16|0|2
1149|14|9|6
880|10|7|0
326|6|2|3
656|2|2|6
699|11|1|0
250|11|2|3
1090|6|4|9
1129|9|6|3
1183|7|4|8
318|6|5|3
1585|12|2|1
1832|17|7|2
1674|9|3|8
169|3|8|9
824|2|7|1
821|7|3|6
1922|2|2|4
636|11|8|1
1675|2|7|4
1365|1|3|1
78|7|0|7
1534|8|9|4
1042|1|1|8
1728|6|3|3
1787|17|5|5
1812|18|8|8
1856|14|1|6
1866|15|0|4
268|17|9|3
1005|9|0|5
1749|13|7|1
1034|5|8|2
686|15|7|8
1697|10|0|5
193|14|5|2
64|15|9|9
1507|6|0|5
1071|18|6|3
1998|12|3|0
96|6|2|0
1419|3|5|9
1825|13|9|6
1972|18|8|5
808|11|4|8
1915|16|1|3
653|6|0|5
121|1|5|8
1722|14|6|3
1348|4|0|1
389|2|3|2
1470|5|2|8
75|14|1|6
1528|7|1|4
210|6|5|2
672|8|6|1
544|2|4|3
2000|8|4|8
820|8|1|4
1332|10|1|2
121|16|7|9
509|11|8|1
1730|12|7|8
149|9|9|1
791|7|8|1
1062|14|6|4
1777|7|0|5
492|16|6|3
1282|13|7|7
1818|17|0|2
630|3|7|5
497|8|7|0
1005|3|3|4
647|9|0|3
1936|11|3|0
478|6|1|5
530|11|5|2
1414|2|9|4
938|11|1|1
914|14|0|6
889|13|3|3
1352|15|0|9
1467|18|2|9
1989|7|1|8
1435|4|6|6
1656|6|6|2
1214|9|1|3
3|1|6|8
87|2|6|6
1021|4|0|2
420|7|7|7
537|11|1|9
483|9|2|1
1483|17|7|1
1355|10|3|2
1926|9|5|9
1186|3|7|6
366|4|8|4
185|1|6|3
380|18|7|1
1587|13|2|9
176|8|0|0
338|18|2|6
13|18|9|6
16|18|3|9
1252|3|7|3
578|13|4|9
636|8|3|9
301|11|9|2
1463|8|8|7
1541|14|4|0
1751|7|4|4
1752|6|0|6
40|5|1|2
723|7|1|8
90|10|2|8
955|11|3|4
1548|9|8|5
1025|2|9|5
1938|10|9|8
464|1|3|0
917|4|1|6
870|16|7|5
559|12|5|6
415|11|4|9
1454|7|3|5
1352|13|1|1
1623|7|6|4
1609|12|8|1
179|2|3|7
1757|5|9|2
379|11|5|8
8|16|4|5
1949|7|9|3
634|13|0|3
1602|5|4|5
1900|8|8|2
512|13|1|2
1298|15|9|8
61|14|3|7
543|1|6|2
772|16|4|7
1571|15|0|8
1463|17|8|4
1352|3|6|6
451|4|6|8
764|18|9|4
1936|13|2|4
1259|4|0|7
1015|4|8|2
741|5|9|2
817|9|2|6
1746|4|9|6
786|8|6|4
328|18|6|2
688|7|2|0
443|7|8|6
901|5|2|9
1785|1|0|1
1076|7|1|6
396|18|2|2
689|2|0|3
1227|14|9|4
313|16|8|6
277|7|8|3
421|9|2|9
1212|8|0|0
613|3|1|6
581|1|9|4
252|3|4|1
305|1|5|5
466|14|4|6
1313|14|0|0
1289|14|2|1
36|13|1|3
320|18|3|0
1732|5|9|9
349|9|1|9
1585|17|8|2
1315|12|5|5
955|9|4|4
1901|1|5|7
1504|11|9|6
839|10|1|6
1851|4|4|7
1974|6|3|4
121|7|1|6
448|5|4|9
978|15|0|5
1722|4|5|1
256|17|3|4
1900|1|7|4
637|16|9|4
370|17|1|1
1410|10|8|2
1313|4|8|4
937|16|8|2
966|1|3|8
1878|7|9|7
1046|11|8|3
1150|17|6|1
709|18|1|2
1444|8|6|5
1867|4|7|5
316|18|1|2
1701|8|9|9
652|18|6|9
986|13|2|6
402|2|5|7
1590|5|1|0
129|3|8|1
360|10|2|4
59|3|6|4
117|4|0|0
1464|14|9|9
362|7|4|8
1060|1|8|3
1161|11|1|6
286|3|4|8
1183|13|6|4
1942|5|3|0
1801|1|8|0
1039|6|4|5
719|10|1|0
243|16|5|3
1355|12|9|1
702|3|5|6
1619|12|1|5
752|10|5|4
477|13|7|4
1408|1|0|3
153|3|5|6
397|4|8|7
1872|9|3|3
669|15|0|7
53|8|8|2
1137|5|3|5
1602|7|3|4
1549|6|7|8
1338|11|2|1
1582|16|2|8
1485|12|0|8
1315|3|4|2
233|9|0|1
1798|16|3|8
774|12|7|3
1862|5|0|0
1748|11|9|2
659|18|4|7
1987|2|4|9
18|13|8|9
149|12|5|0
1793|10|8|7
1806|15|7|4
902|7|4|6
1659|14|3|7
1573|11|2|8
638|16|6|8
1602|5|8|5
384|14|8|2
1862|16|2|2
1689|6|3|8
1627|11|7|0
1790|16|8|4
93|7|5|1
1418|3|7|2
686|10|4|7
58|3|8|1
1925|10|6|7
391|4|9|8
1765|5|8|0
198|13|3|2
1753|16|2|2
182|8|1|4
1697|12|7|8
1688|6|1|3
581|5|6|4
1021|4|5|5
1690|18|4|1
236|10|3|5
971|12|3|6
944|18|5|0
727|14|5|8
247|8|5|7
547|18|6|0
1649|3|4|2
127|12|7|2
618|7|3|0
873|12|0|4
161|4|3|9
1481|12|5|7
174|14|2|4
476|13|0|5
439|3|5|5
1250|5|1|1
886|17|1|7
149|2|2|7
544|2|3|6
355|8|8|6
1114|18|8|5
747|3|0|6
337|3|3|5
422|3|6|9
886|17|6|4
1289|18|6|6
1489|7|9|0
1319|1|3|7
86|8|6|2
1739|4|8|5
1480|14|7|3
1289|3|5|2
148|2|5|3
438|13|7|0
680|11|1|7
21|16|2|0
111|5|1|3
391|13|9|1
760|8|0|5
1966|3|9|1
181|2|3|2
536|7|2|3
760|3|4|0
516|13|2|7
889|4|9|5
